10/25/2021 02:38:39 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/25/2021 02:38:39 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/25/2021 02:43:31 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/25/2021 02:43:31 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/25/2021 02:44:26 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/25/2021 02:44:26 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/26/2021 03:06:16 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/26/2021 03:06:16 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/28/2021 11:50:07 AM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 11:50:07 AM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 11:50:39 AM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 11:50:39 AM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:03:46 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:03:46 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:08:11 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:08:11 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:14:58 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:14:58 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:15:38 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:15:38 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:36:29 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:36:29 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:39:16 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:39:16 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:40:45 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:40:45 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:42:07 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:42:07 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:45:24 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:45:24 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:45:46 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:45:46 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:46:21 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/28/2021 12:46:21 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/28/2021 12:46:36 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:46:36 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:47:11 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:47:11 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:49:04 PM : SECURITY - Unauthorised access attempt [1, admin@email.com, admin, 127.0.0.1]
10/28/2021 12:49:04 PM : SECURITY - Unauthorised access attempt [1, admin@email.com, admin, 127.0.0.1]
10/28/2021 12:49:05 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:49:05 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:49:36 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:49:36 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:50:01 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:50:01 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:51:47 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:51:47 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:51:51 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:51:51 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 12:52:11 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:52:11 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
10/28/2021 12:55:36 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:55:36 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
10/28/2021 12:56:07 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 12:56:07 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 01:00:39 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 01:00:39 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
10/28/2021 01:01:08 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 01:01:08 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
10/28/2021 01:04:49 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
10/28/2021 01:04:49 PM : SECURITY - Unauthorised access attempt [2, bob@email.com, user, 127.0.0.1]
11/01/2021 01:55:23 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
11/01/2021 01:55:23 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
11/01/2021 01:57:23 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/01/2021 01:57:23 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/01/2021 02:10:14 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
11/01/2021 02:10:14 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
11/02/2021 05:01:12 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
